ORI,pi^2,4.843611,8.9000,4.30,,77.4118,24.1790,,-94.4023,-29.4859
PUP,nu,6.629444,-43.1833,3.17,,131.3791,-21.8478,,-46.1824,7.6800
PUP,tau,6.832222,-50.6167,2.92,,137.2923,-30.3951,,-38.4523,8.5129
PUP,L2,7.226678,-44.6500,4.42,,127.7660,-42.5025,,-43.0315,14.3148
PUP,,,,,,,,,,
COL,delta,6.368611,-33.4333,3.84,,122.8590,-11.8931,,-56.3035,5.4503
COL,gamma,5.959167,-35.2833,4.36,,125.2762,1.3393,,-54.7135,-0.5849
COL,beta,5.849444,-35.7667,3.11,,125.6690,4.9559,,-54.1912,-2.1371
COL,alpha,5.660833,-34.0833,2.63,,123.5945,11.0033,,-55.6964,-4.9585
COL,epsilon,5.520278,-35.4833,3.86,,124.4950,15.7182,,-54.0873,-6.8288
COL,,,,,,,,,,
COL,beta,5.849444,-35.7667,3.11,,125.6690,4.9559,,-54.1912,-2.1371
COL,eta,5.985833,-42.8167,3.95,,132.8158,0.4926,,-47.1830,-0.1750
COL,,,,,,,,,,
CAR,alpha,6.399167,-52.6833,-0.72,,141.9049,-14.8835,,-37.1131,3.8926
CAR,chi,7.946389,-52.9833,3.46,,124.8184,-69.7467,,-32.3140,18.0566
CAR,epsilon,8.375278,-59.5000,1.88,,121.5142,-87.0893,,-24.7905,17.7674
CAR,iota,9.285000,-59.2667,2.25,,97.3859,-113.1217,,-20.0513,23.2912
CAR,q,10.284716,-61.3167,3.39,,65.6895,-136.3144,,-12.4520,25.8395
CAR,p,10.533740,-61.6833,3.30,,56.8066,-140.6444,,-10.6048,26.2559
CAR,theta,10.715833,-64.3833,2.76,,50.9305,-145.7405,,-8.4509,24.1826
CAR,omega,10.229167,-70.0333,3.31,,71.5627,-143.1414,,-8.9286,17.8591
CAR,beta,9.220000,-69.7167,1.68,,106.2484,-119.2506,,-13.4931,15.1443
CAR,upsilon,9.785000,-65.0667,3.15,,84.9654,-129.7172,,-13.6617,20.8574
CAR,L,9.754167,-62.5167,3.40,,84.5953,-126.9053,,-15.2440,22.8682
CAR,iota,9.285000,-59.2667,2.25,,97.3859,-113.1217,,-20.0513,23.2912
CAR,,,,,,,,,,
CAS,epsilon,1.906667,63.6833,3.37,,12.5976,23.1056,,-73.5670,-134.9314
CAS,delta,1.430278,60.2333,2.68,,10.8874,27.7041,,-54.9489,-139.8237
CAS,gamma,0.945000,60.7167,2.57,,7.1710,28.3917,,-36.9082,-146.1277
CAS,alpha,0.675278,56.5333,2.22,,5.8857,32.9450,,-25.7705,-144.2494
CAS,,,,,,,,,,
CAS,gamma,0.945000,60.7167,2.57,,7.1710,28.3917,,-36.9082,-146.1277
CAS,kappa,0.550000,62.9333,4.16,,3.8839,26.7866,,-21.9448,-151.3507
CAS,beta,0.152778,59.1500,2.27,,1.2336,30.8253,,-5.9640,-149.0307
CAS,,,,,,,,,,
PIC,alpha,6.803333,-61.9333,3.26,,148.5856,-31.7184,,-27.4482,5.8593
PIC,gamma,5.830556,-56.1500,4.50,,146.0062,6.4812,,-33.8167,-1.5011
PIC,beta,5.788056,-51.0667,3.84,,140.8496,7.8233,,-38.8734,-2.1592
PIC,delta,6.171667,-54.9667,4.80,,144.8203,-6.5129,,-34.9980,1.5739
PIC,alpha,6.803333,-61.9333,3.26,,148.5856,-31.7184,,-27.4482,5.8593
PIC,,,,,,,,,,
DOR,gamma,4.266944,-51.4833,4.24,,127.1689,62.0130,,-34.6198,-16.8821
DOR,alpha,4.566667,-55.0500,3.26,,134.9571,53.1610,,-32.5181,-12.8092
DOR,zeta,5.091944,-57.4833,4.71,,143.3354,34.7317,,-31.6021,-7.6575
DOR,beta,5.560278,-62.4833,3.40,,151.4741,17.5150,,-27.3345,-3.1607
DOR,delta,5.746389,-65.7333,4.34,,155.3902,10.3324,,-24.2132,-1.6100
DOR,,,,,,,,,,
AND,alpha,0.139722,29.0833,2.07,,2.2278,60.8759,,-4.3550,-119.0037
AND,delta,0.655556,30.8667,3.25,,10.0990,58.2646,,-20.6419,-119.0910
AND,beta,1.162222,35.6167,2.06,,16.2930,51.8853,,-37.6342,-119.8466
AND,mu,0.945833,38.5000,3.86,,12.6224,49.9292,,-31.4948,-124.5806
AND,nu,0.830278,41.0833,4.52,,10.5493,47.7656,,-28.2692,-127.9988
AND,phi,1.158333,47.2500,4.24,,12.7662,40.7993,,-40.9862,-130.9874
AND,51,1.633056,48.6167,3.57,,17.1587,37.6585,,-57.4742,-126.1400
AND,,,,,,,,,,
AND,pi,0.614722,33.7167,4.36,,9.0188,55.5560,,-19.8244,-122.1180
AND,beta,1.162222,35.6167,2.06,,16.2930,51.8853,,-37.6342,-119.8466
AND,upsilon,1.613333,41.4000,4.09,,19.9223,44.3290,,-53.8639,-119.8526
AND,gamma,2.064722,42.3333,2.10,,24.5293,40.8708,,-68.0990,-113.4665
AND,,,,,,,,,,
AND,eta,0.953611,23.4167,4.39,,16.4507,64.5191,,-28.0218,-109.9005
AND,zeta,0.788889,24.2667,4.06,,13.4796,64.3364,,-23.4322,-111.8383
AND,epsilon,0.642500,29.3167,4.37,,10.1592,59.8269,,-19.9753,-117.6327
AND,delta,0.655556,30.8667,3.25,,10.0990,58.2646,,-20.6419,-119.0910
AND,pi,0.614722,33.7167,4.36,,9.0188,55.5560,,-19.8244,-122.1180
AND,sigma,0.305556,36.7833,4.52,,4.2525,53.0465,,-10.1311,-126.3779
AND,theta,0.285000,38.6833,4.60,,3.8253,51.1739,,-9.5925,-128.3253
AND,iota,23.635556,43.2667,4.27,,-4.4521,46.5208,,12.6959,-132.6605
AND,,,,,,,,,,
AND,omicron,23.031944,42.3167,3.62,,-11.9557,46.1602,,33.1760,-128.0900
AND,iota,23.635556,43.2667,4.27,,-4.4521,46.5208,,12.6959,-132.6605
AND,kappa,23.673611,44.3333,4.14,,-3.8974,45.5001,,11.4646,-133.8432
AND,lambda,23.626111,46.4667,3.88,,-4.2544,43.3249,,13.3366,-135.8134
AND,,,,,,,,,,
TAU,omicron,3.413611,9.0333,3.59,,63.1041,50.7294,,-77.1849,-62.0491
TAU,xi,3.452778,9.7333,3.72,,63.0709,49.6468,,-78.3672,-61.6873
TAU,lambda,4.011111,12.4833,3.41,,67.2439,38.5629,,-88.9019,-50.9833
TAU,gamma,4.330000,15.6167,3.63,,67.3867,31.4946,,-95.6822,-44.7190
TAU,theta,4.477778,15.8667,3.41,,68.3241,28.7676,,-97.5707,-41.0818
TAU,alpha,4.598611,16.5000,0.86,,68.6086,26.3650,,-99.4124,-38.2023
TAU,zeta,5.627500,21.1500,2.98,,68.5229,6.7036,,-110.6219,-10.8222
TAU,,,,,,,,,,
TAU,beta,5.438056,28.6000,1.65,,60.7367,9.0004,,-117.3189,-17.3852
TAU,epsilon,4.476944,19.1833,3.53,,65.2613,27.4948,,-100.6182,-42.3907
TAU,delta,4.382222,17.5333,3.76,,66.0637,29.7826,,-98.0320,-44.1945
TAU,gamma,4.330000,15.6167,3.63,,67.3867,31.4946,,-95.6822,-44.7190
TAU,,,,,,,,,,
TAU,epsilon,4.476944,19.1833,3.53,,65.2613,27.4948,,-100.6182,-42.3907
TAU,eta,3.791389,24.1167,2.87,,55.1734,36.0071,,-95.5659,-62.3680
TAU,,,,,,,,,,
AUR,delta,5.992222,54.2833,3.71,,35.7166,0.0727,,-144.2830,-0.2938
AUR,beta,5.992222,44.9500,1.90,,45.0499,0.0917,,-134.9497,-0.2748
AUR,alpha,5.278056,46.0000,0.06,,43.2164,8.2668,,-133.5781,-25.5519
AUR,delta,5.992222,54.2833,3.71,,35.7166,0.0727,,-144.2830,-0.2938
AUR,,,,,,,,,,
AUR,alpha,5.278056,46.0000,0.06,,43.2164,8.2668,,-133.5781,-25.5519
AUR,epsilon,5.032778,43.8333,2.98,,44.6945,11.5657,,-129.5656,-33.5280
AUR,zeta,5.041389,41.0833,3.69,,47.3843,12.1479,,-126.9770,-32.5529
AUR,iota,4.950000,33.1500,2.69,,54.7156,15.4314,,-118.5264,-33.4279
AUR,bet_tau,5.438056,28.6000,1.65,,60.7367,9.0004,,-117.3189,-17.3852
AUR,theta,5.995278,37.2000,2.66,,52.8000,0.0653,,-127.1999,-0.1573
AUR,beta,5.992222,44.9500,1.90,,45.0499,0.0917,,-134.9497,-0.2748
AUR,,,,,,,,,,
HOR,alpha,4.233333,-42.2833,3.85,,118.3849,59.0245,,-42.7033,-21.2911
HOR,iota,2.709167,-50.8000,5.40,,91.6990,106.8454,,-25.5298,-29.7467
HOR,eta,2.623333,-52.5500,5.30,,90.3847,110.2321,,-23.7454,-28.9596
HOR,zeta,2.677778,-54.5500,5.20,,93.2367,110.4610,,-22.8657,-27.0899
HOR,,,,,,,,,,
CAE,gamma,5.073611,-35.4833,4.54,,121.8109,30.1358,,-52.9212,-13.0926
CAE,beta,4.700833,-37.1333,5.04,,119.8504,42.4118,,-49.8382,-17.6364
CAE,alpha,4.675833,-41.8667,4.43,,124.0220,44.8036,,-45.2699,-16.3540
CAE,delta,4.513889,-44.9500,5.06,,124.8645,51.1894,,-41.6832,-17.0884
CAE,,,,,,,,,,
SCL,alpha,0.976667,-29.3667,4.30,,30.1895,115.4859,,-15.3350,-58.6621
SCL,delta,23.815278,-28.1333,4.56,,-5.7107,117.9952,,2.9907,-61.7943
SCL,gamma,23.313889,-32.5333,4.41,,-21.8917,120.5619,,10.2669,-56.5421
SCL,beta,23.549722,-37.8167,4.37,,-15.0325,126.9296,,6.1373,-51.8212
SCL,eta,0.465278,-33.0167,4.82,,14.9476,122.1052,,-6.9240,-56.5611
SCL,alpha,0.976667,-29.3667,4.30,,30.1895,115.4859,,-15.3350,-58.6621
SCL,,,,,,,,,,
CET,delta,2.658056,0.3333,4.06,,57.6953,69.0742,,-57.6953,-69.0742
CET,omicron,2.322500,-2.9833,2.00,,53.1168,76.3184,,-49.7083,-71.4211
CET,zeta,1.857500,-10.3333,3.72,,46.8909,88.7019,,-37.2323,-70.4310
CET,theta,1.400278,-8.1833,3.60,,35.1924,91.6595,,-29.3260,-76.3803
CET,iota,0.323889,-8.8333,3.54,,8.3704,98.4782,,-6.8742,-80.8750
CET,beta,0.726389,-17.9833,2.03,,20.4114,106.0367,,-13.6129,-70.7184
CET,upsilon,2.000278,-21.0833,3.99,,55.5487,96.1969,,-34.4627,-59.6811
CET,delta,2.658056,0.3333,4.06,,57.6953,69.0742,,-57.6953,-69.0742
CET,gamma,2.721667,3.2333,3.46,,56.7238,65.6572,,-60.9514,-70.5506
CET,alpha,3.038056,4.1000,2.52,,61.3426,60.1323,,-67.1984,-65.8725
CET,lambda,2.995278,8.9167,4.70,,57.2636,57.4054,,-69.8581,-70.0311
CET,mu,2.748889,10.1167,4.26,,52.6533,60.0748,,-65.9896,-75.2909
CET,xi,2.469167,8.4667,4.27,,49.1106,65.0833,,-59.3102,-78.6002
CET,gamma,2.721667,3.2333,3.46,,56.7238,65.6572,,-60.9514,-70.5506
CET,,,,,,,,,,
CET,beta,0.726389,-17.9833,2.03,,20.4114,106.0367,,-13.6129,-70.7184
CET,tau,1.734444,-15.9333,3.50,,46.4658,95.1987,,-32.4881,-66.5612
CET,,,,,,,,,,
FOR,alpha,3.201111,-28.9833,3.85,,88.4450,79.5897,,-45.3561,-40.8149
FOR,beta,2.818056,-32.4167,4.45,,82.3418,90.5851,,-38.7326,-42.6101
FOR,nu,2.075000,-29.3000,4.69,,61.6670,102.1258,,-31.3762,-51.9617
FOR,,,,,,,,,,
PHE,alpha,0.438056,-42.3000,2.39,,15.1393,131.4309,,-5.4584,-47.3867
PHE,kappa,0.436667,-43.6833,3.93,,15.2493,132.8107,,-5.2834,-46.0143
PHE,beta,1.101389,-46.7167,3.30,,38.8773,131.0725,,-12.3082,-41.4964
PHE,gamma,1.472500,-43.3167,3.40,,50.1300,123.5326,,-17.5540,-43.2573
PHE,delta,1.520833,-49.0833,3.93,,53.9249,128.2040,,-15.8641,-37.7161
PHE,beta,1.101389,-46.7167,3.30,,38.8773,131.0725,,-12.3082,-41.4964
PHE,,,,,,,,,,
PHE,kappa,0.436667,-43.6833,3.93,,15.2493,132.8107,,-5.2834,-46.0143
PHE,zeta,1.139722,-55.2500,3.94,,42.6993,138.8320,,-10.2155,-33.2146
PHE,eta,0.722500,-57.4667,4.36,,27.7273,144.8365,,-6.1171,-31.9531
PHE,,,,,,,,,,
PHE,kappa,0.436667,-43.6833,3.93,,15.2493,132.8107,,-5.2834,-46.0143
PHE,epsilon,0.156667,-45.7500,3.87,,5.5663,135.6358,,-1.8144,-44.2128
PHE,iota,23.584722,-42.6167,4.70,,-14.3896,131.8337,,5.1413,-47.1036
PHE,sigma,23.787778,-50.2333,5.17,,-7.7873,140.0169,,2.2083,-39.7053
PHE,epsilon,0.156667,-45.7500,3.87,,5.5663,135.6358,,-1.8144,-44.2128
PHE,,,,,,,,,,
CAM,7,4.954722,53.7667,4.43,,34.8851,9.7921,,-138.4171,-38.8530
CAM,beta,5.056944,60.4500,4.04,,28.6540,7.2217,,-145.8879,-36.7686
CAM,alpha,4.900833,66.3333,4.30,,22.6935,6.7167,,-149.9052,-44.3684
CAM,gamma,3.839444,71.3167,4.65,,15.7734,10.0133,,-136.1916,-86.4576
CAM,,,,,,,,,,
CAM,alpha,4.900833,66.3333,4.30,,22.6935,6.7167,,-149.9052,-44.3684
CAM,SAO13788,6.314103,69.3167,4.76,,20.6134,-1.6989,,-158.7783,13.0862
CAM,SAO6022,7.001121,76.9667,4.55,,12.5882,-3.3770,,-161.2647,43.2615
CAM,,,,,,,,,,
ERI,alpha,1.628333,-57.2500,0.49,,60.8881,134.0716,,-13.5422,-29.8190
ERI,chi,1.932500,-51.6000,3.69,,68.6220,123.8611,,-18.6094,-33.5895
ERI,phi,2.275000,-51.5167,3.55,,79.3909,117.1497,,-21.5892,-31.8571
ERI,kappa,2.449722,-47.7000,4.24,,82.3813,110.3386,,-25.3067,-33.8949
ERI,iota,2.677778,-39.8500,4.10,,83.7550,99.2277,,-32.3474,-38.3232
ERI,theta,2.970833,-40.3000,3.42,,91.4298,92.8369,,-34.8738,-35.4105
ERI,41,4.298333,-33.8000,3.55,,111.7168,53.3460,,-50.7147,-24.2169
ERI,43,4.400556,-34.0167,3.95,,113.3022,50.4256,,-51.1466,-22.7630
ERI,upsilon^2,4.592500,-30.5667,3.81,,112.4736,43.4282,,-55.4439,-21.4079
ERI,upsilon^1,4.558333,-29.7667,4.50,,111.3370,44.1376,,-55.9939,-22.1978
ERI,tau^9,3.998889,-24.0167,4.64,,98.7247,57.0371,,-57.1336,-33.0083
ERI,tau^8,3.895000,-24.6000,4.63,,97.6341,60.0062,,-55.7179,-34.2444
ERI,tau^6,3.780833,-23.2500,4.22,,94.6687,62.1562,,-55.7981,-36.6351
ERI,tau^5,3.563056,-21.6333,4.26,,89.6744,66.4869,,-54.9185,-40.7180
ERI,tau^4,3.325278,-21.7500,3.70,,85.4538,72.0119,,-52.1899,-43.9804
ERI,tau^3,3.040000,-23.6167,4.07,,81.1760,79.4934,,-47.4291,-46.4460
ERI,tau^2,2.850556,-21.0000,4.76,,75.3587,81.4988,,-46.8446,-50.6614
ERI,tau^1,2.751667,-18.5833,4.47,,71.6296,81.6060,,-47.1117,-53.6733
ERI,eta,2.940278,-8.9000,3.89,,68.8309,71.0177,,-56.4428,-58.2359
ERI,zeta,3.263889,-8.8167,4.80,,74.5307,64.8838,,-61.2311,-53.3056
ERI,epsilon,3.548889,-9.4667,3.73,,79.6807,59.5365,,-64.5136,-48.2038
ERI,delta,3.720556,-9.7667,3.53,,82.5232,56.0652,,-66.3660,-45.0882
ERI,pi,3.769167,-12.1000,4.42,,85.1766,56.2970,,-64.9878,-42.9534
ERI,gamma,3.967222,-13.5167,2.95,,89.2006,52.5257,,-65.9059,-38.8086
ERI,omicron,4.197778,-6.8333,4.05,,86.2535,44.0116,,-74.0801,-37.8000
ERI,nu,4.605278,-3.3500,3.92,,87.1959,33.3332,,-80.9376,-30.9408
ERI,mu,4.758333,-3.2500,4.02,,88.3664,29.7815,,-82.2068,-27.7056
ERI,beta,5.130833,-5.0833,2.77,,92.6323,21.4497,,-82.7277,-19.1562
ERI,,,,,,,,,,
PEG,alpha,23.079444,15.2000,2.50,,-17.8529,72.6382,,25.1086,-102.1597
PEG,zeta,22.690833,10.8333,3.39,,-26.6054,74.5622,,33.8869,-94.9686
PEG,theta,22.170000,6.2000,3.51,,-38.6297,74.3652,,44.3457,-85.3692
PEG,epsilon,21.736389,9.8833,2.40,,-44.7475,66.4555,,55.7878,-82.8517
PEG,,,,,,,,,,
PEG,alp_and,0.139722,29.0833,2.07,,2.2278,60.8759,,-4.3550,-119.0037
PEG,beta,23.063056,28.0833,2.56,,-15.0358,60.0633,,28.6752,-114.5487
PEG,eta,22.716667,30.2167,2.95,,-19.7100,56.4408,,39.6343,-113.4952
PEG,pi,22.166667,33.1667,4.30,,-26.2427,50.4118,,56.8720,-109.2502
PEG,,,,,,,,,,
PEG,alp_and,0.139722,29.0833,2.07,,2.2278,60.8759,,-4.3550,-119.0037
PEG,gamma,0.220556,15.1833,2.83,,4.3176,74.6920,,-6.0700,-105.0080
PEG,alpha,23.079444,15.2000,2.50,,-17.8529,72.6382,,25.1086,-102.1597
PEG,beta,23.063056,28.0833,2.56,,-15.0358,60.0633,,28.6752,-114.5487
PEG,mu,22.833611,24.6000,3.49,,-19.6616,62.3745,,34.4529,-109.2985
PEG,lambda,22.775556,23.5667,3.95,,-20.9329,63.0492,,35.7845,-107.7815
PEG,iota,22.116667,25.3333,3.76,,-30.6080,56.9643,,54.5895,-101.5961
PEG,kappa,21.744167,25.6500,4.14,,-35.8326,53.4504,,64.3985,-96.0612
PEG,,,,,,,,,,
PER,eta,2.845000,55.9000,3.77,,23.1143,25.0707,,-98.8967,-107.2672
PER,tau,2.904444,52.7667,3.95,,25.6611,26.9783,,-98.3945,-103.4449
PER,gamma,3.080000,53.5000,2.94,,26.3442,25.2632,,-103.5726,-99.3225
PER,,,,,,,,,,
PER,tau,2.904444,52.7667,3.95,,25.6611,26.9783,,-98.3945,-103.4449
PER,iota,3.151111,49.6167,4.05,,29.6624,27.4036,,-102.5512,-94.7421
PER,alpha,3.405556,49.8500,1.80,,31.2391,25.2218,,-108.8118,-87.8523
PER,,,,,,,,,,
PER,eta,2.845000,55.9000,3.77,,23.1143,25.0707,,-98.8967,-107.2672
PER,gamma,3.080000,53.5000,2.94,,26.3442,25.2632,,-103.5726,-99.3225
PER,alpha,3.405556,49.8500,1.80,,31.2391,25.2218,,-108.8118,-87.8523
PER,sigma,3.509444,48.0000,4.35,,33.3840,25.4855,,-109.6901,-83.7381
PER,nu,3.753333,42.5833,3.77,,39.4485,26.3089,,-110.3033,-73.5631
PER,epsilon,3.964167,40.0000,2.89,,43.0648,25.4051,,-111.9686,-66.0533
PER,xi,3.982500,35.7833,4.04,,46.8283,27.3232,,-108.6423,-63.3901
PER,zeta,3.902222,31.8833,2.85,,49.5703,30.3370,,-103.9597,-63.6234
PER,omicron,3.738611,32.2833,3.83,,47.8938,32.2086,,-101.4719,-68.2398
PER,,,,,,,,,,
PER,alpha,3.405556,49.8500,1.80,,31.2391,25.2218,,-108.8118,-87.8523
PER,psi,3.608333,48.2000,4.23,,33.8704,24.4956,,-111.9831,-80.9878
PER,delta,3.715278,47.7833,3.02,,34.8872,23.7724,,-113.8621,-77.5865
PER,48,4.144444,47.7167,4.03,,37.3916,19.7421,,-121.7842,-64.3001
PER,mu,4.248333,48.4000,4.13,,37.3019,18.4155,,-124.1005,-61.2669
PER,lambda,4.109722,50.3500,4.29,,34.8931,18.8306,,-123.5120,-66.6551
PER,,,,,,,,,,
PER,iota,3.151111,49.6167,4.05,,29.6624,27.4036,,-102.5512,-94.7421
PER,kappa,3.158333,44.8667,3.79,,33.2092,30.5642,,-99.2351,-91.3313
PER,beta,3.136389,40.9500,2.15,,35.8996,33.4233,,-95.8422,-89.2310
PER,epsilon,3.964167,40.0000,2.89,,43.0648,25.4051,,-111.9686,-66.0533
PER,,,,,,,,,,
PER,beta,3.136389,40.9500,2.15,,35.8996,33.4233,,-95.8422,-89.2310
PER,rho,3.086389,38.8333,3.50,,36.9892,35.3528,,-93.1358,-89.0155
PER,16,2.843056,38.3167,4.22,,35.0136,38.0160,,-86.9300,-94.3840
PER,,,,,,,,,,
PER,iota,3.151111,49.6167,4.05,,29.6624,27.4036,,-102.5512,-94.7421
PER,theta,2.736667,49.2167,4.11,,26.7831,30.7562,,-91.4260,-104.9884
PER,phi,1.727500,50.6833,4.06,,17.1813,35.3639,,-61.4783,-126.5394
PER,,,,,,,,,,
PSC,phi,1.229167,24.5833,4.65,,20.6893,62.0588,,-36.2393,-108.7017
PSC,tau,1.194444,30.1000,4.50,,18.4272,56.9951,,-36.9468,-114.2757
PSC,upsilon,1.324444,27.2667,4.76,,21.3188,58.9998,,-39.8510,-110.2877
PSC,phi,1.229167,24.5833,4.65,,20.6893,62.0588,,-36.2393,-108.7017
PSC,eta,1.524722,15.3500,3.62,,29.0131,68.7813,,-40.9448,-97.0677
PSC,omicron,1.756667,9.1500,4.26,,35.8855,72.4496,,-44.0081,-88.8483
PSC,alpha,2.033889,2.7667,4.33,,44.2852,75.1563,,-47.0943,-79.9236
PSC,xi,1.892778,3.2000,4.61,,41.2731,76.3595,,-44.3163,-81.9897
PSC,nu,1.690556,5.4833,4.44,,36.1966,76.3732,,-40.8934,-86.2832
PSC,epsilon,1.048889,7.8833,4.27,,22.2668,79.0401,,-26.5421,-94.2161
PSC,delta,0.811389,7.5833,4.43,,17.3757,80.5642,,-20.5732,-95.3900
PSC,omega,23.988611,6.8667,4.02,,-0.2479,83.1330,,0.2888,-96.8662
PSC,iota,23.665833,5.6333,4.13,,-7.3714,84.0440,,8.3558,-95.2676
PSC,theta,23.466111,6.3833,4.27,,-11.6492,82.8012,,13.4278,-95.4434
PSC,gamma,23.286111,3.2833,3.69,,-16.1128,85.2066,,17.3329,-91.6589
PSC,kappa,23.448889,1.2500,4.92,,-12.7605,87.8279,,13.1200,-90.3019
PSC,lambda,23.700833,1.7833,4.50,,-6.9022,87.9462,,7.1813,-91.5020
PSC,iota,23.665833,5.6333,4.13,,-7.3714,84.0440,,8.3558,-95.2676
PSC,,,,,,,,,,
PSC,gamma,23.286111,3.2833,3.69,,-16.1128,85.2066,,17.3329,-91.6589
PSC,beta,23.064444,3.8167,4.52,,-20.8983,83.6112,,22.7493,-91.0167
PSC,,,,,,,,,,
UMA,eta,13.792222,49.3167,1.88,,-18.3960,-36.2866,,62.9956,124.2606
UMA,zeta,13.398889,54.9333,2.27,,-12.5572,-32.7412,,51.9001,135.3220
